"Equation","Method","Mean","SD","Skewness","ExcessKurtosis","ShapiroW","ShapiroP","BPStatistic","BPP"
"Mediator","OLS",-3.59667801659433e-14,0.724241655673149,-0.797016468964619,0.872367318467683,0.953513872628482,2.97585623295648e-16,0.956371953946116,0.328102657230163
"Outcome","OLS",-1.82414953245141e-15,0.610563420412284,1.06918347218474,1.34228128056029,0.931959286822821,8.61689627011753e-20,18.634143927273,1.58358824556162e-05
