"Effect","Estimate","Std.Error","Lower","Upper"
"ACME(0)",-0.0120078170426325,0.00540330896802296,-0.0225983026199575,-0.00141733146530747
"ACME(1)",-0.00965510532719339,0.00435853257636351,-0.0181978291768659,-0.00111238147752092
"ADE(0)",-0.0192443575148432,0.0327546363684313,-0.0834434447969686,0.0449547297672822
"ADE(1)",-0.0168916457994041,0.0305464209017522,-0.0767626307668384,0.0429793391680301
"ATE",-0.0288994628420366,0.0325739156934899,-0.0927443376012769,0.0349454119172036
