"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Main",500,"Asymmetric mixture","OLS","TE",1000,1,0.00721108677151492,0.106296412405706,0.947,0.00708456067798138,0.408906433206055
"Main",500,"Asymmetric mixture","Semiparametric","PNIE",999,0.999,-0.000270505809175238,0.0191851005649966,0.948948948948949,0.00696371557232245,0.0740280316685692
"Main",500,"Asymmetric mixture","Semiparametric","TNIE",999,0.999,0.000187394534985487,0.00756141984559823,0.942942942942943,0.00733862416953931,0.0297136357582616
"Main",500,"Asymmetric mixture","Semiparametric","PNDE",999,0.999,0.00223659402055358,0.0550054590361513,0.947947947947948,0.00702794621188721,0.208817464040522
"Main",500,"Asymmetric mixture","Semiparametric","TNDE",999,0.999,0.00269449436471421,0.0553772662005099,0.947947947947948,0.00702794621188721,0.208854725919901
"Main",500,"Asymmetric mixture","Semiparametric","TE",999,0.999,0.00242398855553898,0.0538676903535088,0.947947947947948,0.00702794621188721,0.20450112022793
"Main",500,"Gaussian","OLS","PNIE",1000,1,0.00138236035875021,0.0743824384707652,0.956,0.00648567652600714,0.296759713930525
"Main",500,"Gaussian","OLS","TNIE",1000,1,0.000471072530439876,0.0311976182474794,0.941,0.00745110730026082,0.121907065944574
"Main",500,"Gaussian","OLS","PNDE",1000,1,-0.0062713561363786,0.114032770051521,0.958,0.00634318531969546,0.444049788484633
"Main",500,"Gaussian","OLS","TNDE",1000,1,-0.00718264396468903,0.117235555700268,0.931,0.00801492358042171,0.443108803859021
"Main",500,"Gaussian","OLS","TE",1000,1,-0.00580028360593881,0.107007769336868,0.946,0.00714730718522718,0.409314517378358
"Main",500,"Gaussian","Semiparametric","PNIE",1000,1,0.00114199459742289,0.0776771672900127,0.958,0.00634318531969546,0.311103995977107
"Main",500,"Gaussian","Semiparametric","TNIE",1000,1,0.0010473771273717,0.0329983860573012,0.93,0.00806845710157772,0.127420336521826
"Main",500,"Gaussian","Semiparametric","PNDE",1000,1,-0.00601949023973828,0.118804395737302,0.953,0.00669260786241059,0.461855842978762
"Main",500,"Gaussian","Semiparametric","TNDE",1000,1,-0.00611410770978957,0.121554270677474,0.934,0.00785136930732467,0.461033884890099
"Main",500,"Gaussian","Semiparametric","TE",1000,1,-0.00497211311236667,0.110735084675815,0.95,0.00689202437604511,0.424388697007487
"Main",500,"Skew-normal","OLS","PNIE",1000,1,0.000308720428603725,0.0769771203752427,0.955,0.00655553201502365,0.297638713611593
"Main",500,"Skew-normal","OLS","TNIE",1000,1,0.00142958958200847,0.0311390539837481,0.93,0.00806845710157772,0.122143419548234
"Main",500,"Skew-normal","OLS","PNDE",1000,1,-0.00286050173385544,0.116281364156803,0.941,0.00745110730026082,0.444041428679062
"Main",500,"Skew-normal","OLS","TNDE",1000,1,-0.00173963258045077,0.117677066150563,0.942,0.00739161687318817,0.444096366406264
"Main",500,"Skew-normal","OLS","TE",1000,1,-0.00143091215184708,0.108570980036452,0.948,0.00702111102319284,0.409238531378631
"Main",500,"Skew-normal","Semiparametric","PNIE",1000,1,0.00421886640781876,0.0585606848886724,0.942,0.00739161687318817,0.233088698103504
"Main",500,"Skew-normal","Semiparametric","TNIE",1000,1,0.000208854031451925,0.0237585520832512,0.938,0.00762600813007697,0.0951160002718334
"Main",500,"Skew-normal","Semiparametric","PNDE",1000,1,-0.00109623356701161,0.0926048317708995,0.943,0.00733150734842434,0.360922599972153
"Main",500,"Skew-normal","Semiparametric","TNDE",1000,1,-0.00510624594337853,0.0937400040775148,0.944,0.00727076337120113,0.361059883420739
"Main",500,"Skew-normal","Semiparametric","TE",1000,1,-0.000887379535559777,0.0870687333872148,0.944,0.00727076337120113,0.33652868934566
"Main",500,"Symmetric bimodal","OLS","PNIE",1000,1,-0.00276081680735997,0.0763687198547446,0.945,0.00720936890441875,0.298040149412729
"Main",500,"Symmetric bimodal","OLS","TNIE",1000,1,0.000122362148603088,0.0319045798318646,0.934,0.00785136930732467,0.122028584761813
"Main",500,"Symmetric bimodal","OLS","PNDE",1000,1,-0.00267760053426116,0.109562633197281,0.953,0.00669260786241059,0.443344958854435
"Main",500,"Symmetric bimodal","OLS","TNDE",1000,1,0.000205578421701809,0.109110260470819,0.963,0.00596917079668525,0.443541257236838
"Main",500,"Symmetric bimodal","OLS","TE",1000,1,-0.00255523838565816,0.101144080482708,0.955,0.00655553201502365,0.408943472286366
"Main",500,"Symmetric bimodal","Semiparametric","PNIE",1000,1,-0.000167162944703825,0.0188987693207082,0.959,0.00627048642451286,0.0761454828917513
"Main",500,"Symmetric bimodal","Semiparametric","TNIE",1000,1,0.000253479232640433,0.00787048328962352,0.939,0.00756828910652864,0.0307461284721439
"Main",500,"Symmetric bimodal","Semiparametric","PNDE",1000,1,-0.00106921977786337,0.0538052750204257,0.937,0.00768316341099159,0.210434687121525
"Main",500,"Symmetric bimodal","Semiparametric","TNDE",1000,1,-0.000648577600519204,0.0534282676232106,0.955,0.00655553201502365,0.210564247169593
"Main",500,"Symmetric bimodal","Semiparametric","TE",1000,1,-0.000815740545223006,0.0525116351471387,0.941,0.00745110730026082,0.205800961227456
