"Study","SampleSize","Scenario","Replication","Method","Success"
"Main",200,"Symmetric bimodal",408,"OLS",TRUE
"Main",200,"Symmetric bimodal",408,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",378,"OLS",TRUE
"Main",200,"Symmetric bimodal",378,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",147,"OLS",TRUE
"Main",200,"Symmetric bimodal",147,"Semiparametric",TRUE
"Main",200,"Skew-normal",747,"OLS",TRUE
"Main",200,"Skew-normal",747,"Semiparametric",TRUE
"Main",500,"Gaussian",893,"OLS",TRUE
"Main",500,"Gaussian",893,"Semiparametric",TRUE
"Main",500,"Skew-normal",471,"OLS",TRUE
"Main",500,"Skew-normal",471,"Semiparametric",TRUE
"Main",200,"Gaussian",880,"OLS",TRUE
"Main",200,"Gaussian",880,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",392,"OLS",TRUE
"Main",200,"Symmetric bimodal",392,"Semiparametric",FALSE
"Main",200,"Asymmetric mixture",295,"OLS",TRUE
"Main",200,"Asymmetric mixture",295,"Semiparametric",TRUE
"Main",200,"Gaussian",856,"OLS",TRUE
"Main",200,"Gaussian",856,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",785,"OLS",TRUE
"Main",200,"Asymmetric mixture",785,"Semiparametric",FALSE
"Main",200,"Symmetric bimodal",772,"OLS",TRUE
"Main",200,"Symmetric bimodal",772,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",335,"OLS",TRUE
"Main",200,"Symmetric bimodal",335,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",426,"OLS",TRUE
"Main",200,"Asymmetric mixture",426,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",404,"OLS",TRUE
"Main",500,"Symmetric bimodal",404,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",620,"OLS",TRUE
"Main",200,"Asymmetric mixture",620,"Semiparametric",TRUE
"Main",200,"Gaussian",445,"OLS",TRUE
"Main",200,"Gaussian",445,"Semiparametric",TRUE
"Main",500,"Skew-normal",733,"OLS",TRUE
"Main",500,"Skew-normal",733,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",502,"OLS",TRUE
"Main",200,"Asymmetric mixture",502,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",657,"OLS",TRUE
"Main",200,"Asymmetric mixture",657,"Semiparametric",TRUE
"Main",200,"Skew-normal",303,"OLS",TRUE
"Main",200,"Skew-normal",303,"Semiparametric",TRUE
"Main",500,"Skew-normal",842,"OLS",TRUE
"Main",500,"Skew-normal",842,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",581,"OLS",TRUE
"Main",500,"Symmetric bimodal",581,"Semiparametric",TRUE
"Main",200,"Skew-normal",773,"OLS",TRUE
"Main",200,"Skew-normal",773,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",838,"OLS",TRUE
"Main",200,"Symmetric bimodal",838,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",321,"OLS",TRUE
"Main",500,"Asymmetric mixture",321,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",62,"OLS",TRUE
"Main",500,"Symmetric bimodal",62,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",684,"OLS",TRUE
"Main",200,"Symmetric bimodal",684,"Semiparametric",TRUE
"Main",500,"Skew-normal",32,"OLS",TRUE
"Main",500,"Skew-normal",32,"Semiparametric",TRUE
"Main",500,"Skew-normal",808,"OLS",TRUE
"Main",500,"Skew-normal",808,"Semiparametric",TRUE
"Main",200,"Gaussian",220,"OLS",TRUE
"Main",200,"Gaussian",220,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",151,"OLS",TRUE
"Main",200,"Asymmetric mixture",151,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",95,"OLS",TRUE
"Main",500,"Asymmetric mixture",95,"Semiparametric",TRUE
"Main",200,"Gaussian",709,"OLS",TRUE
"Main",200,"Gaussian",709,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",723,"OLS",TRUE
"Main",200,"Asymmetric mixture",723,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",362,"OLS",TRUE
"Main",500,"Symmetric bimodal",362,"Semiparametric",TRUE
"Main",500,"Gaussian",416,"OLS",TRUE
"Main",500,"Gaussian",416,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",705,"OLS",TRUE
"Main",200,"Asymmetric mixture",705,"Semiparametric",TRUE
"Main",200,"Skew-normal",351,"OLS",TRUE
"Main",200,"Skew-normal",351,"Semiparametric",TRUE
"Main",500,"Skew-normal",405,"OLS",TRUE
"Main",500,"Skew-normal",405,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",270,"OLS",TRUE
"Main",500,"Symmetric bimodal",270,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",377,"OLS",TRUE
"Main",200,"Asymmetric mixture",377,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",540,"OLS",TRUE
"Main",500,"Symmetric bimodal",540,"Semiparametric",TRUE
"Main",200,"Gaussian",429,"OLS",TRUE
"Main",200,"Gaussian",429,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",935,"OLS",TRUE
"Main",200,"Symmetric bimodal",935,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",558,"OLS",TRUE
"Main",500,"Symmetric bimodal",558,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",833,"OLS",TRUE
"Main",200,"Asymmetric mixture",833,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",108,"OLS",TRUE
"Main",200,"Symmetric bimodal",108,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",720,"OLS",TRUE
"Main",200,"Asymmetric mixture",720,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",698,"OLS",TRUE
"Main",200,"Asymmetric mixture",698,"Semiparametric",TRUE
"Main",500,"Skew-normal",641,"OLS",TRUE
"Main",500,"Skew-normal",641,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",246,"OLS",TRUE
"Main",200,"Symmetric bimodal",246,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",74,"OLS",TRUE
"Main",500,"Symmetric bimodal",74,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",712,"OLS",TRUE
"Main",500,"Asymmetric mixture",712,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",228,"OLS",TRUE
"Main",200,"Symmetric bimodal",228,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",222,"OLS",TRUE
"Main",500,"Symmetric bimodal",222,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",213,"OLS",TRUE
"Main",200,"Symmetric bimodal",213,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",411,"OLS",TRUE
"Main",500,"Symmetric bimodal",411,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",974,"OLS",TRUE
"Main",200,"Symmetric bimodal",974,"Semiparametric",TRUE
"Main",200,"Skew-normal",550,"OLS",TRUE
"Main",200,"Skew-normal",550,"Semiparametric",TRUE
"Main",500,"Gaussian",180,"OLS",TRUE
"Main",500,"Gaussian",180,"Semiparametric",TRUE
"Main",500,"Gaussian",167,"OLS",TRUE
"Main",500,"Gaussian",167,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",815,"OLS",TRUE
"Main",500,"Symmetric bimodal",815,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",332,"OLS",TRUE
"Main",500,"Asymmetric mixture",332,"Semiparametric",TRUE
"Main",500,"Skew-normal",511,"OLS",TRUE
"Main",500,"Skew-normal",511,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",656,"OLS",TRUE
"Main",500,"Symmetric bimodal",656,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",52,"OLS",TRUE
"Main",200,"Asymmetric mixture",52,"Semiparametric",TRUE
"Main",500,"Gaussian",510,"OLS",TRUE
"Main",500,"Gaussian",510,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",392,"OLS",TRUE
"Main",200,"Asymmetric mixture",392,"Semiparametric",FALSE
"Main",500,"Gaussian",817,"OLS",TRUE
"Main",500,"Gaussian",817,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",855,"OLS",TRUE
"Main",200,"Symmetric bimodal",855,"Semiparametric",TRUE
"Main",200,"Skew-normal",538,"OLS",TRUE
"Main",200,"Skew-normal",538,"Semiparametric",TRUE
"Main",500,"Gaussian",55,"OLS",TRUE
"Main",500,"Gaussian",55,"Semiparametric",TRUE
"Main",500,"Skew-normal",763,"OLS",TRUE
"Main",500,"Skew-normal",763,"Semiparametric",TRUE
"Main",500,"Gaussian",707,"OLS",TRUE
"Main",500,"Gaussian",707,"Semiparametric",TRUE
"Main",500,"Gaussian",116,"OLS",TRUE
"Main",500,"Gaussian",116,"Semiparametric",TRUE
"Main",200,"Gaussian",553,"OLS",TRUE
"Main",200,"Gaussian",553,"Semiparametric",TRUE
"Main",200,"Skew-normal",392,"OLS",TRUE
"Main",200,"Skew-normal",392,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",775,"OLS",TRUE
"Main",500,"Symmetric bimodal",775,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",812,"OLS",TRUE
"Main",500,"Symmetric bimodal",812,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",70,"OLS",TRUE
"Main",200,"Asymmetric mixture",70,"Semiparametric",TRUE
"Main",200,"Skew-normal",263,"OLS",TRUE
"Main",200,"Skew-normal",263,"Semiparametric",TRUE
"Main",500,"Skew-normal",947,"OLS",TRUE
"Main",500,"Skew-normal",947,"Semiparametric",TRUE
"Main",200,"Gaussian",639,"OLS",TRUE
"Main",200,"Gaussian",639,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",587,"OLS",TRUE
"Main",500,"Asymmetric mixture",587,"Semiparametric",TRUE
"Main",500,"Gaussian",38,"OLS",TRUE
"Main",500,"Gaussian",38,"Semiparametric",TRUE
"Main",500,"Skew-normal",82,"OLS",TRUE
"Main",500,"Skew-normal",82,"Semiparametric",TRUE
"Main",200,"Gaussian",776,"OLS",TRUE
"Main",200,"Gaussian",776,"Semiparametric",TRUE
"Main",500,"Skew-normal",898,"OLS",TRUE
"Main",500,"Skew-normal",898,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",840,"OLS",TRUE
"Main",200,"Symmetric bimodal",840,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",359,"OLS",TRUE
"Main",200,"Asymmetric mixture",359,"Semiparametric",TRUE
"Main",200,"Skew-normal",512,"OLS",TRUE
"Main",200,"Skew-normal",512,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",274,"OLS",TRUE
"Main",500,"Asymmetric mixture",274,"Semiparametric",TRUE
"Main",500,"Skew-normal",894,"OLS",TRUE
"Main",500,"Skew-normal",894,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",419,"OLS",TRUE
"Main",500,"Asymmetric mixture",419,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",314,"OLS",TRUE
"Main",200,"Symmetric bimodal",314,"Semiparametric",TRUE
"Main",200,"Gaussian",327,"OLS",TRUE
"Main",200,"Gaussian",327,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",835,"OLS",TRUE
"Main",500,"Asymmetric mixture",835,"Semiparametric",TRUE
"Main",200,"Skew-normal",435,"OLS",TRUE
"Main",200,"Skew-normal",435,"Semiparametric",TRUE
"Main",500,"Gaussian",983,"OLS",TRUE
"Main",500,"Gaussian",983,"Semiparametric",TRUE
