"Effect","Estimate","Std.Error","Lower","Upper"
"ACME(0)",-0.0197776826245833,0.0151680224372671,-0.0495070066016267,0.00995164135246012
"ACME(1)",-0.0140339568566705,0.0111833614809061,-0.0359533453592465,0.00788543164590545
"ADE(0)",-0.0419792497063797,0.0442040414237971,-0.128619170897022,0.0446606714842627
"ADE(1)",-0.0362355239384669,0.0437128851324117,-0.121912778797994,0.0494417309210601
"ATE",-0.0560132065630502,0.0459110092262999,-0.145998784646598,0.0339723715204977
