"Effect","Estimate","Std.Error","Lower","Upper"
"ACME(0)",-0.0438628085936707,0.0145897678748965,-0.0724587536284678,-0.0152668635588737
"ACME(1)",-0.0868231354985678,0.0286295072665138,-0.142936969740935,-0.0307093012562007
"ADE(0)",0.773551354499371,0.0492974253234187,0.67692840086547,0.870174308133271
"ADE(1)",0.730591027594474,0.0479313761391968,0.636645530361648,0.8245365248273
"ATE",0.686728219000803,0.0518035031248066,0.585193352876182,0.788263085125424
