"StepScale","PNIE","Lower","Upper","MediatorSelectedStart","OutcomeSelectedStart","MediatorCandidateRoots","OutcomeCandidateRoots","MediatorScoreNorm","OutcomeScoreNorm"
0.05,-0.0122170807106801,-0.0229964670218207,-0.00143769439953962,1,1,1,1,2.33237826531076e-12,2.86113982586381e-15
0.1,-0.0122170807106801,-0.0229964670218207,-0.00143769439953962,1,1,1,1,2.33237826531076e-12,2.86113982586381e-15
0.2,-0.0122170807106801,-0.0229964670218207,-0.00143769439953962,1,1,1,1,2.33237826531076e-12,2.86113982586381e-15
