"Scenario","StepScale","Replications","SuccessRate","MeanPNIE","SDEstimate","MeanCandidateRootsMediator","MeanCandidateRootsOutcome"
"Asymmetric mixture",0.05,300,0.956666666666667,-0.319519661005868,0.0367027101872225,1.00696864111498,1.00348432055749
"Symmetric bimodal",0.05,300,0.95,-0.319053322074816,0.0289819850096416,1.00350877192982,1.00701754385965
"Asymmetric mixture",0.1,300,0.9,-0.319431147103247,0.0368646033659468,1.0037037037037,1.01111111111111
"Symmetric bimodal",0.1,300,0.94,-0.31871264880935,0.0288995050423639,1.00354609929078,1.03900709219858
"Asymmetric mixture",0.2,300,0.86,-0.320815935057253,0.0292001542972402,1.00387596899225,1.0077519379845
"Symmetric bimodal",0.2,300,0.91,-0.318163206230397,0.0746136672322734,1.003663003663,1.09157509157509
